"id";"aliases";"approved";"bannedinaustralia";"bannedincanada";"bannedinusa";"category";"diseases";"function";"gmo";"linksbanned";"linksdiseases";"name";"nameenglish";"number";"origin";"properties";"sideeffect";"vegan";"productcount"
65537;"Kurkum, Turmeric yellow, Natural Yellow 3, diferuloylmethane";"t";"f";"f";"f";0;;"Livsmedel färg, vars färg varierar från gul till röd, beroende på pH (surhetsgrad). Det är inte särskilt lösligt i vatten.";"f";;;"Curcumin";"Curcumin";"E100";"Natur färgade isolerade från rötterna och stammen av yellowroot (curcuma longaand curcuma domestica). Gurkmeja är det råa extraktet, medan curcumin är den renade föreningen. Det ger den gula färgen till curry.";;"Inga biverkningar är kända i de koncentrationer som används i livsmedel.";"f";6
65540;"Riboflavin 5'-Phosphate Sodium, Riboflavin from Bacillus subtilis, Lactoflavin, Vitamin B2, Riboflavin 5'-phosphate ester monosodium salt, Vitamin B2 phosphate ester monosodium salt";"t";"f";"f";"f";0;;"Gul mat färg. Inte mycket lösligt i vatten.";"f";;;"Riboflavin";"Riboflavin";"E101";"Natur färgade finns i många livsmedel som mjölk, ägg, lever och grönsaker. Kommersiellt framställd från jäst. Det är också tillverkas syntetiskt.";;"Inga biverkningar som är kända inom de koncentrationer som användes i livsmedel.";"f";9
65543;"CI (1975) No. 19140, FD&C Yellow No. 5, Acid Yellow 23";"t";"f";"f";"f";2;"allergi, astma, hyperaktivitet";"Gul mat färg. Mycket lösligt i vatten.";"f";;;"Tartrazin";"Tartrazine";"E102";"Ljusorange färgämne, azofärgämne.";;"Tartrazin är en azofärgämne. Inga biverkningar är kända för rena tartrazin, utom hos människor som är överkänsliga mot salicylater (acetylsalicylsyra, bär, frukter), i så fall tartrazin också inducerar intolerans symtom. I kombination med bensoater (E210-215), är tartrazin inblandad i en stor andel av fallen av ADHD syndrom (hyperaktivitet) hos barn. Astmatiker kan också få symptom efter konsumtion av tartrazin, eftersom det är ett känt histamin-frigörande medel.";"f";11
65544;"CI (1975) No. 47005";"t";"f";"t";"t";3;"allergi, astma, hyperaktivitet";"Gul mat färg. Mycket lösligt i vatten.";"f";;;"Kinolingult";"Quinoline Yellow";"E104";"Syntetisk icke-azofärgämne.";;"Det finns inga biverkningar kända i de använda koncentrationerna, men E104 kan fungera som en histamin befriare.";"f";15
65547;"CI (1975) No. 15985";"t";"f";"f";"f";2;"allergi, astma, hyperaktivitet";"Gul mat färg. Mycket lösligt i vatten.";"f";;;"Solnedgång orange";"Sunset Yellow FCF";"E110";"Synthetic azofärgämne. De kan orsaka biverkningar hos människor intoleranta mot salicylater. Dessutom är de histamin befriare, och kan intensifiera symtom på astma. Tillsammans med bensoater kan orsaka barnet hyperaktivitet.";;"Eftersom det är en azofärgämne, kan det framkalla intolerans hos människor intoleranta mot salicylater. Dessutom är det en histamin befriare, och kan förstärka symtom på astma. I kombination med bensoater, är det också implicerats i hyperaktivitet hos barn.";"f";17
65548;"Carmine, CI Natural Red 4, CI (1975) No. 75470, Cochineal carmine, Cochineal, Carminic acid, Cochineal Extract,";"t";"f";"f";"f";0;;"Röd mat färg. Mycket lösligt i vatten.";"f";;;"Karminer";"Carmines";"E120";"Naturlig röd livsmedelsfärg isolerade från insekter. Dactylopius kock, bor på olika arter av suckulenter.";;"Inga biverkningar i de koncentrationer som används i livsmedel. Ökad hyperaktivitet har rapporterats i ett fåtal fall. Kontaktallergi är välkänt när det används i kosmetika.";"t";53
65551;"Carmoisine, CI (1975) No. 14720";"t";"f";"t";"t";3;"allergi, astma, hyperaktivitet";"Red mat färg. Mycket lösligt i vatten.";"f";;;"Azorubin";"Azorubine";"E122";"Synthetic azofärgämne, röd.";;"Eftersom det är en azofärgämne, kan det framkalla intolerans hos människor intoleranta mot salicylater. Dessutom är det en histamin befriare, och kan förstärka symtom på astma. I kombination med bensoater, är det också implicerats i hyperaktivitet hos barn.";"f";16
65558;"CI (1975) No. 16255, Cochineal Red A, New Coccine";"t";"f";"t";"t";3;"allergi, astma, hyperaktivitet";"Red mat färg. Mycket lösligt i vatten.";"f";"http://www.cfsan.fda.gov/~acrobat/cp09006.pdf";;"Ponceau 4R";"Ponceau 4R";"E124";"Synthetic azofärgämne. För människor som inte tål salicylater, kan leda till intolerans reaktioner. Dessutom är det en leverantör av histamin och kan förstärka symtom på astma. Tillsammans med bensoater orsakar hyperaktivitet hos barn.";;"Eftersom det är en azofärgämne, kan det framkalla intolerans hos människor intoleranta mot salicylater. Dessutom är det en histamin befriare, och kan förstärka symtom på astma. I kombination med bensoater, är det också implicerats i hyperaktivitet hos barn.";"f";16
65563;"CI (1975) No. 16185, Naphtol Rot S";"t";"f";"f";"t";3;"allergi, astma, cancer";"Röd mat färg. Mycket lösligt i vatten.";"f";;;"Amaranth";"Amaranth";"E123";"Synthetic azofärgämne. Kan framkalla intolerans hos människor intoleranta mot salicylater. Dessutom är det en leverantör av histamin och kan förstärka symtom på astma. Tillsammans med bensoater, orsakar hyperaktivitet hos barn. Förhållandet mellan tumörer och amaranto bestämdes hos råttor.";;"Eftersom det är en azofärgämne, kan det framkalla intolerans hos människor intoleranta mot salicylater. Dessutom är det en histamin befriare, och kan förstärka symtom på astma. I kombination med bensoater, är det också implicerats i hyperaktivitet hos barn. En förbindelse mellan tumörer och Amaranth har fastställts hos råttor, men inte (o) bevisats i människor. Icke desto mindre har många länder begränsat användningen väntan på ytterligare tester, och ADI har reducerats till 0,5 mg/kg.";"f";0
65564;"CI (1975) No. 45430, FD&C Red No. 3";"t";"f";"f";"f";2;"allergi, astma, Hyperaktivitet, mutagenicitet";"Röd matta Färg. Mycket lösligt i Vatten.";"f";;;"Erytrosin";"Erythrosine";"E127";"Synthetic jod-innehållande röda färgämnet. Ökning av hyperaktivitet observerades, liksoms möjligt samband med mutagenicitet. Erytrosin orsakar ökad känslighet för ljus för människor som mig sminkad känsliga för solljus. Höga koncentrationer of erytrosin forhindrer jod-metabolism. Jag de koncentrationer som används i livsmedel";;"fa biverkningar. Ökad Hyperaktivitet harmo rapporterats i ETT dödlig falla, Liksoms ETT eventuellt samband Med mutagenicitet. Erytrosin orsakar en ökad ljuskänslighet HOS personer på Med känslighet för solljus. I Höga koncentrationer erytrosin Stör Med JOD-metabolism. Kan-brygga dessa koncentrationer integre kan-Nås Genomet konsumtion of Livsmedel.";"f";0
